Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
205,"(70739, 70740, 70902, 71128, 71153)","(1, 0, 0, 0, 0)","['2018-02-26', '2018-02-27', '2018-02-28']","[1, 1]"
186,"(74467, 74468, 74469, 74471, 76451)","(0, 0, 0, 0, 0)","['2018-03-18', '2018-03-19']",[1]
460,"(64229, 88229, 88230, 90925, 90926)","(0, 0, 1, 1, 1)","['2018-05-22', '2018-05-25']",[3]
657,"(107046, 107212, 164951, 179470, 179996)","(0, 1, 0, 0, 0)","['2019-02-14', '2019-02-18']",[4]
633,"(105153, 105154, 105322, 108305, 189976)","(1, 1, 1, 0, 0)","['2019-02-26', '2019-02-27']",[1]
1398,"(207870, 207872, 208774, 230393, 230683)","(1, 0, 0, 0, 0)","['2019-04-30', '2019-05-09']",[9]
1577,"(9318, 236846, 392622, 395776, 401884)","(0, 0, 0, 0, 0)","['2019-07-08', '2019-07-24']",[16]
1577,"(9318, 236846, 392622, 392623, 401884)","(0, 0, 0, 0, 0)","['2019-07-11', '2019-07-19']",[8]
1577,"(392622, 401884, 402987, 411317, 411318)","(0, 0, 0, 0, 0)","['2019-10-23', '2019-10-24', '2019-10-28', '2019-11-08']","[1, 4, 11]"
1781,"(162105, 395551, 395600, 395940, 426528)","(0, 0, 1, 0, 1)","['2019-08-26', '2019-08-27']",[1]
2787,"(456483, 456492, 457397, 458920, 459380)","(0, 0, 0, 0, 0)","['2019-12-24', '2019-12-31']",[7]
4279,"(543643, 543644, 543647, 544916, 550930)","(0, 0, 0, 0, 0)","['2020-04-28', '2020-04-30']",[2]
4841,"(553118, 553384, 553390, 553523, 553716)","(0, 1, 1, 0, 1)","['2020-05-05', '2020-05-06']",[1]
6458,"(540531, 677743, 678057, 708859, 708872)","(0, 1, 1, 0, 1)","['2020-12-16', '2021-07-09']",[205]
6458,"(540531, 677743, 678057, 705290, 709448)","(0, 1, 1, 0, 1)","['2021-04-25', '2021-09-01', '2022-10-26', '2023-03-17']","[129, 420, 142]"
6458,"(540531, 677743, 705290, 709448, 711634)","(0, 1, 0, 1, 1)","['2021-08-31', '2023-02-20', '2023-03-20']","[538, 28]"
6458,"(540531, 677743, 678057, 1032441, 1033974)","(0, 1, 1, 0, 1)","['2021-10-22', '2021-11-30', '2022-10-17']","[39, 321]"
6458,"(677743, 678057, 691054, 692145, 692146)","(1, 1, 0, 1, 1)","['2021-11-02', '2021-11-11']",[9]
6458,"(705290, 709448, 1066137, 1095074, 1095132)","(0, 1, 0, 1, 1)","['2022-04-13', '2022-04-14']",[1]
5887,"(3141378, 3141379, 3141380, 3142798, 3142799)","(1, 1, 1, 1, 1)","['2022-04-18', '2022-05-30', '2022-09-11', '2022-09-18', '2022-09-24', '2022-12-15', '2022-12-29', '2023-01-04', '2023-01-05', '2023-02-05', '2023-02-10']","[42, 104, 7, 6, 82, 14, 6, 1, 31, 5]"
5887,"(3141379, 3141380, 3142798, 3142799, 3145028)","(1, 1, 1, 1, 0)","['2022-06-28', '2022-12-21']",[176]
7688,"(1493840, 1511244, 2822348, 4660337, 4919955)","(0, 0, 0, 1, 1)","['2023-04-25', '2023-05-08']",[13]
12254,"(1109194, 1109196, 3409320, 5071273, 5072928)","(1, 1, 1, 1, 1)","['2022-12-08', '2022-12-18', '2022-12-31']","[10, 13]"
16906,"(677638, 1572808, 3174109, 4267900, 4982578)","(0, 0, 0, 1, 0)","['2022-12-21', '2022-12-30']",[9]
19343,"(1078763, 1332933, 1332939, 1332957, 4275632)","(0, 0, 0, 0, 0)","['2022-10-21', '2023-02-18']",[120]
52871,"(3107779, 3186333, 3197901, 3253929, 3255720)","(1, 0, 0, 0, 0)","['2022-04-15', '2022-04-16', '2022-04-18', '2022-04-19', '2022-04-20', '2022-04-22']","[1, 2, 1, 1, 2]"
43519,"(1209687, 1379578, 3217928, 3635399, 5514320)","(0, 0, 0, 0, 0)","['2023-11-29', '2023-12-03']",[4]
69248,"(1493038, 2609798, 2665915, 3418856, 3642572)","(0, 0, 0, 0, 1)","['2022-11-08', '2022-12-04', '2022-12-08']","[26, 4]"
83588,"(843682, 1446785, 2354743, 4036283, 4040876)","(0, 0, 0, 1, 1)","['2022-10-17', '2022-10-21']",[4]
41781,"(2489133, 2490947, 2876449, 3521970, 3681014)","(0, 0, 0, 0, 0)","['2022-09-09', '2022-09-13']",[4]
59379,"(1197285, 3033908, 3102920, 3451693, 3455645)","(0, 0, 0, 0, 1)","['2023-01-19', '2023-02-21']",[33]
92648,"(195719, 756779, 764044, 1146576, 1721347)","(0, 0, 0, 0, 0)","['2023-04-21', '2023-04-24']",[3]
103836,"(3659080, 4132800, 4747922, 4985041, 6474515)","(0, 0, 1, 0, 0)","['2023-05-17', '2023-05-27']",[10]
91753,"(1294644, 3340157, 4273219, 4626191, 6180889)","(0, 0, 1, 1, 0)","['2023-04-02', '2023-05-11']",[39]
98850,"(2353663, 4505695, 4660171, 4660377, 4660526)","(0, 0, 0, 0, 0)","['2022-10-18', '2023-06-19']",[244]
73871,"(3965251, 3965252, 4687963, 4690384, 4690385)","(0, 0, 0, 0, 0)","['2022-10-21', '2022-12-16']",[56]
111925,"(3745955, 3956626, 4015047, 4144934, 4567493)","(0, 0, 0, 0, 0)","['2023-04-03', '2023-04-10', '2023-04-23', '2023-04-29', '2023-06-03', '2023-06-05', '2023-06-12', '2023-07-03', '2023-07-10', '2023-07-24', '2023-07-31', '2023-08-14', '2023-08-21', '2023-09-04', '2023-09-18']","[7, 13, 6, 35, 2, 7, 21, 7, 14, 7, 14, 7, 14, 14]"
60810,"(2798388, 3687345, 3932009, 3979583, 4088355)","(0, 1, 1, 0, 0)","['2022-11-21', '2022-11-24']",[3]
108420,"(3414684, 4617009, 4705651, 4742124, 4743435)","(0, 0, 0, 0, 0)","['2022-11-28', '2022-11-29']",[1]
129538,"(1716454, 5273196, 5273197, 5273198, 5273199)","(0, 0, 1, 1, 1)","['2022-12-21', '2023-01-09', '2023-03-09']","[19, 59]"
129592,"(2050873, 4778835, 4950671, 5274415, 5274416)","(0, 1, 1, 0, 1)","['2023-01-12', '2023-02-12']",[31]
149378,"(5588103, 5588105, 5588107, 5588118, 5594253)","(0, 0, 0, 0, 0)","['2023-02-21', '2023-02-22']",[1]
154954,"(7486662, 7513632, 7513850, 7546511, 7546825)","(0, 0, 0, 0, 0)","['2023-12-25', '2023-12-27', '2023-12-31']","[2, 4]"
161892,"(3141378, 3141379, 3141380, 6102677, 6102678)","(1, 1, 1, 1, 1)","['2023-03-16', '2023-03-19', '2023-03-20', '2023-03-21', '2023-03-26', '2023-03-27', '2023-03-31', '2023-04-02', '2023-04-03']","[3, 1, 1, 5, 1, 4, 2, 1]"
161892,"(958130, 3141379, 3141380, 6102677, 6102678)","(0, 1, 1, 1, 1)","['2023-05-01', '2023-05-07']",[6]
161892,"(3141379, 3141380, 5546802, 6102677, 6102678)","(1, 1, 0, 1, 1)","['2023-10-03', '2023-10-16', '2024-01-24']","[13, 100]"
164301,"(5131592, 5419993, 5575011, 5698611, 6099439)","(0, 0, 0, 0, 0)","['2023-10-19', '2023-10-21']",[2]
170866,"(1042603, 1550927, 1653442, 3011155, 4660337)","(0, 0, 0, 0, 1)","['2023-04-24', '2023-06-22']",[59]
177253,"(1633017, 3141379, 3141380, 6607247, 6633767)","(0, 1, 1, 1, 1)","['2023-07-18', '2023-08-30']",[43]
177253,"(3141378, 3141379, 3141380, 4854738, 6633767)","(1, 1, 1, 0, 1)","['2023-08-02', '2023-08-06', '2024-02-23']","[4, 201]"
177253,"(1658206, 3141378, 3141379, 3141380, 6633767)","(0, 1, 1, 1, 1)","['2023-09-20', '2023-11-07', '2024-02-06']","[48, 91]"
177253,"(1658206, 3141379, 3141380, 6607247, 6633767)","(0, 1, 1, 1, 1)","['2023-11-05', '2023-12-18', '2023-12-24', '2024-01-23', '2024-02-11']","[43, 6, 30, 19]"
177248,"(3141378, 3141379, 3141380, 4021721, 6693532)","(1, 1, 1, 0, 1)","['2023-08-31', '2023-11-28']",[89]
177248,"(1013851, 3141378, 3141379, 3141380, 6693532)","(0, 1, 1, 1, 1)","['2023-09-02', '2023-09-04']",[2]
175538,"(4621467, 5536430, 6546840, 6742667, 6751054)","(0, 1, 0, 1, 0)","['2023-06-24', '2023-07-01']",[7]
175538,"(4621467, 5536430, 6742667, 6805265, 6810014)","(0, 1, 1, 0, 0)","['2023-07-06', '2023-07-09', '2023-07-13', '2023-07-15', '2023-07-23']","[3, 4, 2, 8]"
177745,"(1322054, 3739623, 5050071, 5983088, 6542593)","(0, 0, 0, 0, 0)","['2023-11-06', '2024-01-05']",[60]
181521,"(6726665, 6742667, 6742668, 6751064, 6779242)","(1, 1, 1, 1, 1)","['2023-06-29', '2023-07-25', '2023-08-20']","[26, 26]"
181521,"(6742667, 6742668, 6746321, 6751064, 6779242)","(1, 1, 1, 1, 1)","['2023-07-01', '2023-07-04']",[3]
174131,"(6785342, 7137813, 7137817, 7137818, 7137819)","(0, 0, 0, 0, 0)","['2023-11-23', '2024-02-01']",[70]
201252,"(1644566, 3496077, 3864428, 4155061, 4716633)","(0, 0, 0, 0, 0)","['2023-11-21', '2023-12-25']",[34]
206435,"(1259865, 5607662, 7217077, 7643191, 7643201)","(0, 0, 0, 0, 0)","['2024-01-16', '2024-01-17']",[1]
